permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/CPA/0000057/01-19R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2019-01-19,2020-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000058/01-20R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2020-01-19,2021-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000059/12-19R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2019-12-10,2020-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000062/04-20,Goil Offshore Ghana Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2020-04-03,2021-04-02,Contractor Party to Petroleum Agreement Certificate of Registration,GOIL
PC/CPA/0000063/07-19R,Springfield Exploration & Production Limited,Contractor Party to Petroleum Agreement,West Cape 3 Points Block 2,1,2019-07-14,2020-07-13,Contractor Party to Petroleum Agreement,SPRINGFIELD
PC/CPA/0000065/04-20R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2020-04-10,2021-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000066/05-20R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2020-05-10,2021-05-09,Contractor Party to Petroleum Agreement,ENI
PC/CPA/0000067/07-20R,ExxonMobil Exploration and Production Ghana (Deepwater) Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2020-07-12,2021-07-11,Contractor Party to Petroleum Agreement Certificate of Registration,EXXONMOBIL
PC/CPA/0000068/0520R,Aker Energy Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2020-05-13,2021-05-12,Contractor Party to Petroleum Agreement,AKER
PC/CPA/0000069/01-20R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2020-01-23,2021-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/CPA/0000071/01-16R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2016-01-23,2017-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000072/01-17R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2017-01-23,2018-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000073/01-18R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2018-01-23,2019-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000074/01-19R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2019-01-23,2020-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000075/01-20R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2020-01-23,2021-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000076/08-19R,Blue Star Exploration Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2019-08-21,2020-08-20,Contractor Party to Petroleum Agreement,BLUE STAR
PC/CPA/0000078/12-20R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2020-12-10,2021-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000079/01-21R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2021-01-19,2022-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000080/01-20R,Vitol Upstream Tano Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2020-01-21,2021-01-20,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000081/01-21R,Vitol Upstream Tano Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2021-01-21,2022-01-20,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000082/01-21R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2021-01-23,2022-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000083/01-21R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2021-01-23,2022-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/CPA/0000085/04-21R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2021-04-10,2022-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000086/03-20R,Cola Natural Resources Ghana Limited,Contractor Party to Petroleum Agreement,East Cape Three Points,1,2020-03-21,2021-03-20,Contractor Party to Petroleum Agreement,COLA
PC/CPA/0000087/03-21R,Cola Natural Resources Ghana Limited,Contractor Party to Petroleum Agreement,East Cape Three Points,1,2021-03-21,2022-03-20,Contractor Party to Petroleum Agreement,COLA
PC/CPA/0000088/04-21R,Goil Offshore Ghana Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2021-04-03,2022-04-02,Contractor Party to Petroleum Agreement Certificate of Registration,GOIL
PC/CPA/0000089/05-21R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2021-05-10,2022-05-09,Contractor Party to Petroleum Agreement,ENI
PC/CPA/0000090/0521R,Aker Energy Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2021-05-13,2022-05-12,Contractor Party to Petroleum Agreement,AKER
PC/CPA/0000092/08-20R,Blue Star Exploration Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2020-08-21,2021-08-20,Contractor Party to Petroleum Agreement,BLUE STAR
PC/CPA/0000093/11-20R,Heritage Exploration and Production Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2020-11-28,2021-11-27,Contractor Party to Petroleum Agreement,HERITAGE
PC/CPA/0000094/0620R,FT Exploration & Production Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2020-06-19,2021-06-18,Contractor Party to Petroleum Agreement,FT EXPLORATION
PC/CPA/0000095/0621R,FT Exploration & Production Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2021-06-19,2022-06-18,Contractor Party to Petroleum Agreement,FT EXPLORATION
PC/CPA/0000098/12-21R,PetroSA Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2021-12-10,2022-12-09,Contractor Party to Petroleum Agreement,PETROSA
PC/CPA/0000100/11-21R,Heritage Exploration and Production Ghana Limited,Contractor Party to Petroleum Agreement,Offshore South West Tano,1,2021-11-28,2022-11-27,Contractor Party to Petroleum Agreement,HERITAGE
PC/CPA/0000101/01-22R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2022-01-23,2023-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/CPA/0000103/04-22R,Kosmos Energy Ghana HC,Contractor Party to Petroleum Agreement,Deepwater Tano; West Cape Three Points,2,2022-04-10,2023-04-09,Contractor Party to Petroleum Agreement,KOSMOS
PC/CPA/0000104/01-22R,Vitol Upstream Tano Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2022-01-21,2023-01-20,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000105/01-22R,Vitol Upstream Ghana Limited,Contractor Party to Petroleum Agreement,Offshore Cape Three Points,1,2022-01-19,2023-01-18,Contractor Party to Petroleum Agreement,VITOL
PC/CPA/0000106/0522R,Aker Energy Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2022-05-13,2023-05-12,Contractor Party to Petroleum Agreement,AKER
PC/CPA/0000106/0523R,Aker Energy Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2023-05-13,2024-05-12,Contractor Party to Petroleum Agreement,AKER
PC/CPA/0000108/0515,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2015-05-24,2016-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000109/0516R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2016-05-24,2017-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000110/0517R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2017-05-24,2018-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000111/0518R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2018-05-24,2019-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000112/0519R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2019-05-24,2020-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000113/0520R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2020-05-24,2021-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000114/0521R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2021-05-24,2022-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000115/0522R,Lukoil Overseas Ghana Tano Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2022-05-24,2023-05-23,Contractor Party to Petroleum Agreement,LUKOIL
PC/CPA/0000116/05-22R,Eni Ghana Exploration and Production Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2022-05-10,2023-05-09,Contractor Party to Petroleum Agreement,ENI
PC/CPA/0000117/04-22R,Goil Offshore Ghana Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2022-04-03,2023-04-02,Contractor Party to Petroleum Agreement Certificate of Registration,GOIL
PC/CPA/0000118/0622R,FT Exploration & Production Limited,Contractor Party to Petroleum Agreement,Deepwater Tano / Cape 3 Points,1,2022-06-19,2023-06-18,Contractor Party to Petroleum Agreement,FT EXPLORATION
PC/CPA/0000119/01-22R,A-Z Petroleum Products Ghana Limited,Contractor Party to Petroleum Agreement,Deepwater Cape Threee Point West,1,2022-01-23,2023-01-22,Contractor Party to Petroleum Agreement,A-Z
PC/CPA/0000120/03-20R,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2020-03-27,2021-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
PC/CPA/0000121/03-21R,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2021-03-27,2022-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
