permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/CPA/0000195/03-26R,Woodfields Upstream Limited,Registration Permit,Cape Three Points Block 4 Contract Area,1,2026-03-27,2027-03-26,Registration Permit,WOODFIELDS
PC/CPA/0000196/04-26R,Kosmos Energy Ghana Limited,Registration Permit,West Cape Three Points Block,1,2026-04-10,2027-04-09,Registration Permit,KOSMOS
PC/CPA/0000197/04-26R,Kosmos Energy Ghana HC,Registration Permit,Deepwater Tano Block,1,2026-04-10,2027-04-09,Registration Permit,KOSMOS
PC/CPA/0000198/05-26R,Kosmos Energy Ghana Investments,Registration Permit,West Cape Three Points Block,1,2026-05-11,2027-05-10,Registration Permit,KOSMOS
PC/CPA/0000199/05-26R,Kosmos Energy Ghana Investments,Registration Permit,Deepwater Tano Block,1,2026-05-11,2027-05-10,Registration Permit,KOSMOS
PC/CPA/0000200/05-26R,Lukoil Overseas Ghana Limited,Registration Permit,Deepwater Tano / Cape Three Points,1,2026-05-24,2027-05-23,Registration Permit,LUKOIL
PC/CPA/0000201/05-26R,Pecan Energies Ghana Limited,Registration Permit,Deepwater Tano / Cape Three Points,1,2026-05-13,2027-05-12,Registration Permit,PECAN
PC/CPA/0000202/06-26R,FT Exploration and Production Company Limited,Registration Permit,Cape Three Points Block 4,1,2026-06-19,2027-06-18,Registration Permit,FT EXPLORATION
PC/CPA/0000203/05-26R,Eni Exploration and Production Company Limited,Registration Permit,Cape Three Points Block 4 Contract area,1,2026-05-10,2027-05-09,Registration Permit,ENI
PC/DP/0000001/0118,Aker Energy Ghana Limited,Drilling Permit,Deepwater Tano / Cape 3 Points,1,2018-11-01,2019-05-31,Drilling Permit,AKER
PC/DP/0000001/0121,Aker Energy Ghana Limited,Drilling Permit,Deepwater Tano / Cape 3 Points,1,,,Drilling Permit,AKER
PC/DP/0000003/0119,Aker Energy Ghana Limited,Drilling Permit,Deepwater Tano / Cape 3 Points,1,2019-01-10,2019-07-09,Drilling Permit,AKER
PC/DP/0000004/0119,Aker Energy Ghana Limited,Drilling Permit,Deepwater Tano / Cape 3 Points,1,2019-01-10,2019-07-09,Drilling Permit,AKER
PC/DP/0000004/02-19,Eni Ghana Exploration and Production Limited,Drilling Permit,Cape Theree Points Block 4,1,2019-02-11,2019-08-10,Drilling Permit,ENI
PC/DP/0000007/09-19,Springfield Exploration & Production Limited,Drilling Permit,West Cape 3 Points Block 2,1,2019-09-10,2020-03-09,Drilling Permit,SPRINGFIELD
PC/DP/0000009/09-19,Springfield Exploration & Production Limited,Drilling Permit,West Cape 3 Points Block 2,1,2019-09-10,2020-03-09,Drilling Permit,SPRINGFIELD
PC/DP/0000011/04-21,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2021-04-28,2021-10-27,Drilling Permit,TULLOW
PC/DP/0000013/07-21,Tullow Ghana Limited,Drilling Permit,Deepwater Tano; West Cape Three Points,2,2021-07-21,2022-01-20,Drilling Permit,TULLOW
PC/DP/0000014/08-21,Tullow Ghana Limited,Drilling Permit,Deepwater Tano,1,2021-08-26,2022-02-25,Drilling Permit,TULLOW
PC/DP/0000015/11-21,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2021-11-22,2022-05-21,Drilling Permit,TULLOW
PC/DP/0000016/04-21,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2021-04-26,2021-10-25,Drilling Permit,TULLOW
PC/DP/0000017/12-21,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2021-12-09,2022-06-08,Drilling Permit,TULLOW
PC/DP/0000018/12-21,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2022-01-24,2022-07-23,Drilling Permit,TULLOW
PC/DP/0000019/01-22,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2022-01-24,2022-07-23,Drilling Permit,TULLOW
PC/DP/0000020/03-22,Eni Ghana Exploration and Production Limited,Drilling Permit,Cape Theree Points Block 4,1,2022-03-15,2022-09-14,Drilling Permit,ENI
PC/DP/0000021/06-22,Tullow Ghana Limited,Drilling Permit,Deepwater Tano,1,2021-06-09,2022-12-08,Drilling Permit,TULLOW
PC/DP/0000022/06-22,Eni Ghana Exploration and Production Limited,Drilling Permit,Cape Theree Points Block 4; Deepwater Tano,2,2021-06-10,2022-12-09,Drilling Permit,ENI
PC/DP/0000023/06-22,Tullow Ghana Limited,Drilling Permit,Deepwater Tano,1,2021-06-10,2022-12-09,Drilling Permit,TULLOW
PC/DP/0000024/10-22,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,,2023-04-07,Drilling Permit,TULLOW
PC/DP/0000025/10-22,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,,2023-04-07,Drilling Permit,TULLOW
PC/DP/0000026/10-22,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,,2023-04-07,Drilling Permit,TULLOW
PC/DP/0000027/02-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-02-13,2023-08-12,Drilling Permit,TULLOW
PC/DP/0000028/02-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-02-13,2023-08-12,Drilling Permit,TULLOW
PC/DP/0000029/05-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-05-24,2023-11-23,Drilling Permit,TULLOW
PC/DP/0000030/11-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-11-10,2024-05-09,Drilling Permit,TULLOW
PC/DP/0000031/11-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-11-10,2024-05-09,Drilling Permit,TULLOW
PC/DP/0000032/11-23,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2023-11-10,2024-05-09,Drilling Permit,TULLOW
PC/DP/0000033/02-24,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2024-02-15,2024-08-14,Drilling Permit,TULLOW
PC/DP/0000034/02-24,Tullow Ghana Limited,Drilling Permit,West Cape Three Points,1,2024-02-15,2024-08-14,Drilling Permit,TULLOW
PC/DP/0000035/07-24,Eni Ghana Exploration and Production Limited,Drilling Permit,Cape Theree Points Block 4,1,2024-07-15,2024-12-14,Drilling Permit,ENI
PC/DP/0000040/10-25,Tullow Ghana Limited,Drilling Permit,To drill JAS-P (J74 – P) Well,1,2025-10-28,2026-04-27,Drilling Permit,TULLOW
PC/DP/0000041/11-25,Tullow Ghana Limited,Drilling Permit,To drill JAT -WI (J73 – WI) Well,1,2025-11-26,2026-05-27,Drilling Permit,TULLOW
PC/DP/0000042/12-25,Tullow Ghana Limited,Drilling Permit,To drill JCH - P (J75 – P) Well,1,2025-12-09,2026-06-08,Drilling Permit,TULLOW
PC/DP/0000043/10-25,Eni Ghana Exploration and Production Limited,Drilling Permit,To drill OP-3 ST Well,1,2025-10-07,2026-04-06,Drilling Permit,ENI
PC/DP/0000044/03-26,Tullow Ghana Limited,Drilling Permit,To drill JAK - P (J76 – P) Well,1,2026-03-05,2026-09-04,Drilling Permit,TULLOW
PC/DP/0000045/03-26,Tullow Ghana Limited,Drilling Permit,To drill JBV-P (J77 – P) Well,1,2026-03-05,2026-09-04,Drilling Permit,TULLOW
PC/DP/0000046/06-26,Eni Exploration and Production Company Limited,Drilling Permit,To drill GI-3 ST Well,1,2026-06-30,2027-12-29,Drilling Permit,ENI
PC/EDP/0000001/06-17R,Medea Development Limited,Exploration and Development Permit,East Cape Three Points,1,2017-06-05,2018-06-04,Exploration and Development Permit,MEDEA
PC/EDP/0000004/11-16R,Eco Atlantic (Ghana) Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2016-11-17,2017-11-16,Exploration and Development Permit,ECO ATLANTIC
PC/EDP/0000005/11-17R,Eco Atlantic (Ghana) Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2017-11-17,2018-11-16,Exploration and Development Permit,ECO ATLANTIC
PC/EDP/0000006/05-18,Eni Ghana Exploration and Production Limited,As Operator in respect of Cape Three Points Block 4,Cape Theree Points Block 4,1,2018-05-10,2019-05-09,Misfiled (purpose text in type field),ENI
PC/EDP/0000011/07-17R,Springfield Exploration & Production Limited,Exploration and Development Permit,West Cape 3 Points Block 2,1,2017-07-14,2018-07-13,Exploration and Development Permit,SPRINGFIELD
PC/EDP/0000012/06-18R,Medea Development Limited,Exploration and Development Permit,East Cape Three Points,1,2018-06-05,2019-06-04,Exploration and Development Permit,MEDEA
PC/EDP/0000014/07-18R,Springfield Exploration & Production Limited,Exploration and Development Permit,West Cape 3 Points Block 2,1,2018-07-14,2019-07-13,Exploration and Development Permit,SPRINGFIELD
PC/EDP/0000015/10-16R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2016-10-21,2017-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000016/10-17R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2017-10-21,2018-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000016/10-18R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2018-10-21,2019-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000019/07-19,ExxonMobil Exploration and Production Ghana (Deepwater) Limited,Exploration and Development Permit,Deepwater Cape Three Points,1,2019-07-12,2020-07-11,Exploration and Development Permit,EXXONMOBIL
PC/EDP/0000020/05-19,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2019-05-10,2020-05-09,Exploration and Development Permit,ENI
PC/EDP/0000023/10-19R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2019-10-21,2020-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000024/11-18R,Eco Atlantic (Ghana) Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2018-11-17,2019-11-16,Exploration and Development Permit,ECO ATLANTIC
PC/EDP/0000025/11-19R,Eco Atlantic (Ghana) Limited,Exploration and Development Permit,Deepwater Cape Threee Point West,1,2019-11-17,2020-11-16,Exploration and Development Permit,ECO ATLANTIC
PC/EDP/0000026/07-19R,Springfield Exploration & Production Limited,Exploration and Development Permit,West Cape 3 Points Block 2,1,2019-07-14,2020-07-13,Exploration and Development Permit,SPRINGFIELD
PC/EDP/0000027/05-20R,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2020-05-10,2021-05-09,Exploration and Development Permit,ENI
PC/EDP/0000028/07-20R,ExxonMobil Exploration and Production Ghana (Deepwater) Limited,Exploration and Development Permit,Deepwater Cape Three Points,1,2020-07-12,2021-07-11,Exploration and Development Permit,EXXONMOBIL
PC/EDP/0000029/0520R,Aker Energy Ghana Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2020-05-13,2021-05-12,Exploration and Development Permit,AKER
PC/EDP/0000031/05-21R,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2021-05-10,2022-05-09,Exploration and Development Permit,ENI
PC/EDP/0000032/0521R,Aker Energy Ghana Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2021-05-13,2022-05-12,Exploration and Development Permit,AKER
PC/EDP/0000034/10-20R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2020-10-21,2021-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000035/0522R,Aker Energy Ghana Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2022-05-13,2023-05-12,Exploration and Development Permit,AKER
PC/EDP/0000037/10-21R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2021-10-21,2022-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000038/01-21,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2021-01-23,2022-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/EDP/0000039/01-22R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2022-01-23,2023-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/EDP/0000040/05-22R,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2022-05-10,2023-05-09,Exploration and Development Permit,ENI
PC/EDP/0000041/0523R,Aker Energy Ghana Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2023-05-13,2024-05-12,Exploration and Development Permit,AKER
PC/EDP/0000042/10-22R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2022-10-21,2023-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000043/05-23R,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2023-05-10,2024-05-09,Exploration and Development Permit,ENI
PC/EDP/0000044/10-23R,Amni International Petroleum Development Company Limited,Exploration and Development Permit,Central Tano Block,1,2023-10-21,2024-10-20,Exploration and Development Permit,AMNI
PC/EDP/0000045/01-23R,Base Energy Ghana Limited,Contractor Party to Petroleum Agreement,Expanded Shallow Water Tano,1,2023-01-23,2024-01-22,Contractor Party to Petroleum Agreement,BASE ENERGY
PC/EDP/0000046/0524R,Pecan Energies Ghana Limited,Exploration and Development Permit,Deepwater Tano / Cape 3 Points,1,2024-05-13,2025-05-12,Exploration and Development Permit,PECAN
PC/EDP/0000047/05-24R,Eni Ghana Exploration and Production Limited,Exploration and Development Permit,Cape Theree Points Block 4,1,2024-05-10,2025-05-09,Exploration and Development Permit,ENI
PC/EDP/0000054/10-25R,Amni International Petroleum Development Company Limited,Registration Permit,Central Tano Block,1,2025-10-21,2026-10-20,Registration Permit,AMNI
PC/EDP/0000055/05-26R,Pecan Energies Ghana Limited,Registration Permit,Deepwater Tano / Cape Three Points,1,2026-05-13,2027-05-12,Registration Permit,PECAN
PC/EDP/0000056/05-26R,Eni Exploration and Production Company Limited,Registration Permit,Cape Three Points Block 4,1,2026-05-10,2027-05-09,Registration Permit,ENI
PC/PC/0000001/A/04-15R,Tullow Ghana Limited,Production Permit,Deepwater Tano; West Cape Three Points,2,2015-04-02,2016-04-01,Production Permit,TULLOW
